0.92,100,0,1.0,0.0
0.8,100,0,1.0,0.0
0.6,100,0,1.0,0.0
0.2,88,12,0.88,0.03249615361854384
0.08,78,22,0.78,0.04142463035441595
-0.08,62,38,0.62,0.048538644398046386
-0.2,56,44,0.56,0.04963869458396342
-0.6,30,70,0.3,0.0458257569495584
-0.8,13,87,0.13,0.03363034344160047
-0.92,4,96,0.04,0.019595917942265423
