m0,count_A,count_B,invalid,probability,standard_error
0.920000,99,1,0,0.990000,0.009950
0.800000,99,1,0,0.990000,0.009950
0.600000,98,2,0,0.980000,0.014000
0.200000,88,12,0,0.880000,0.032496
0.080000,85,15,0,0.850000,0.035707
-0.080000,67,33,0,0.670000,0.047021
-0.200000,60,40,0,0.600000,0.048990
-0.600000,18,82,0,0.180000,0.038419
-0.800000,16,84,0,0.160000,0.036661
-0.920000,13,87,0,0.130000,0.033630
