m0,count_A,count_B,invalid,probability,standard_error
0.920000,96,4,0,0.960000,0.019596
0.800000,98,2,0,0.980000,0.014000
0.600000,99,1,0,0.990000,0.009950
0.200000,91,9,0,0.910000,0.028618
0.080000,91,9,0,0.910000,0.028618
-0.080000,85,15,0,0.850000,0.035707
-0.200000,82,18,0,0.820000,0.038419
-0.600000,70,30,0,0.700000,0.045826
-0.800000,49,51,0,0.490000,0.049990
-0.920000,37,63,0,0.370000,0.048280
