m0,count_A,count_B,invalid,probability,standard_error
0.920000,100,0,0,1.000000,0.000000
0.800000,100,0,0,1.000000,0.000000
0.600000,98,2,0,0.980000,0.014000
0.200000,78,22,0,0.780000,0.041425
0.080000,66,34,0,0.660000,0.047371
-0.080000,48,52,0,0.480000,0.049960
-0.200000,37,63,0,0.370000,0.048280
-0.600000,8,92,0,0.080000,0.027129
-0.800000,5,95,0,0.050000,0.021794
-0.920000,2,98,0,0.020000,0.014000
