m0,count_A,count_B,invalid,probability,standard_error
0.920000,99,1,0,0.990000,0.009950
0.800000,99,1,0,0.990000,0.009950
0.600000,99,1,0,0.990000,0.009950
0.200000,77,23,0,0.770000,0.042083
0.080000,58,42,0,0.580000,0.049356
-0.080000,49,51,0,0.490000,0.049990
-0.200000,35,65,0,0.350000,0.047697
-0.600000,5,95,0,0.050000,0.021794
-0.800000,4,96,0,0.040000,0.019596
-0.920000,2,98,0,0.020000,0.014000
