m0,count_A,count_B,probability,standard_error
0.920000,100.0,0.0,1.000000,0.000000
0.800000,100.0,0.0,1.000000,0.000000
0.600000,96.0,4.0,0.960000,0.019596
0.200000,77.0,23.0,0.770000,0.042083
0.080000,72.0,28.0,0.720000,0.044900
-0.080000,47.0,53.0,0.470000,0.049910
-0.200000,25.0,75.0,0.250000,0.043301
-0.600000,2.0,98.0,0.020000,0.014000
-0.800000,1.0,99.0,0.010000,0.009950
-0.920000,0.0,100.0,0.000000,0.000000
