m0,count_A,count_B,probability,standard_error
0.920000,100.0,0.0,1.000000,0.000000
0.800000,99.0,1.0,0.990000,0.009950
0.600000,99.0,1.0,0.990000,0.009950
0.200000,97.0,3.0,0.970000,0.017059
0.080000,95.0,5.0,0.950000,0.021794
-0.080000,91.0,9.0,0.910000,0.028618
-0.200000,82.0,18.0,0.820000,0.038419
-0.600000,75.0,25.0,0.750000,0.043301
-0.800000,61.0,39.0,0.610000,0.048775
-0.920000,51.0,49.0,0.510000,0.049990
