m0,count_A,count_B,probability,standard_error
0.920000,100,0,1.000000,0.000000
0.800000,100,0,1.000000,0.000000
0.600000,100,0,1.000000,0.000000
0.200000,94,6,0.940000,0.023749
0.080000,91,9,0.910000,0.028618
-0.080000,76,24,0.760000,0.042708
-0.200000,65,35,0.650000,0.047697
-0.600000,16,84,0.160000,0.036661
-0.800000,14,86,0.140000,0.034699
-0.920000,10,90,0.100000,0.030000
