m0,count_A,count_B,probability,standard_error
0.900000,92,8,0.920000,0.027129
0.800000,88,12,0.880000,0.032496
0.600000,92,8,0.920000,0.027129
0.200000,96,4,0.960000,0.019596
0.100000,93,7,0.930000,0.025515
-0.100000,91,9,0.910000,0.028618
-0.200000,96,4,0.960000,0.019596
-0.600000,83,17,0.830000,0.037563
-0.800000,83,17,0.830000,0.037563
-0.900000,74,26,0.740000,0.043863
