m0,count_A,count_B,invalid,probability,standard_error
0.920000,90,10,0,0.900000,0.030000
0.800000,93,7,0,0.930000,0.025515
0.600000,82,18,0,0.820000,0.038419
0.200000,30,70,0,0.300000,0.045826
0.080000,11,89,0,0.110000,0.031289
-0.080000,0,100,0,0.000000,0.000000
-0.200000,0,100,0,0.000000,0.000000
-0.600000,0,100,0,0.000000,0.000000
-0.800000,0,100,0,0.000000,0.000000
-0.920000,3,97,0,0.030000,0.017059
