m0,count_A,count_B,invalid,probability,standard_error
0.920000,99,1,0,0.990000,0.009950
0.800000,99,1,0,0.990000,0.009950
0.600000,97,3,0,0.970000,0.017059
0.200000,88,12,0,0.880000,0.032496
0.080000,69,31,0,0.690000,0.046249
-0.080000,39,61,0,0.390000,0.048775
-0.200000,23,77,0,0.230000,0.042083
-0.600000,3,97,0,0.030000,0.017059
-0.800000,3,97,0,0.030000,0.017059
-0.920000,2,98,0,0.020000,0.014000
