m0,count_A,count_B,invalid,probability,standard_error
0.920000,89,10,1,0.898990,0.030286
0.800000,88,12,0,0.880000,0.032496
0.600000,78,22,0,0.780000,0.041425
0.200000,43,57,0,0.430000,0.049508
0.080000,26,74,0,0.260000,0.043863
-0.080000,15,85,0,0.150000,0.035707
-0.200000,11,89,0,0.110000,0.031289
-0.600000,1,99,0,0.010000,0.009950
-0.800000,0,100,0,0.000000,0.000000
-0.920000,1,99,0,0.010000,0.009950
