m0,count_A,count_B,invalid,probability,standard_error
0.920000,39,60,1,0.393939,0.049108
0.800000,43,57,0,0.430000,0.049508
0.600000,53,47,0,0.530000,0.049910
0.200000,12,88,0,0.120000,0.032496
0.080000,6,94,0,0.060000,0.023749
-0.080000,4,96,0,0.040000,0.019596
-0.200000,1,99,0,0.010000,0.009950
-0.600000,1,99,0,0.010000,0.009950
-0.800000,1,99,0,0.010000,0.009950
-0.920000,3,97,0,0.030000,0.017059
