m0,count_A,count_B,invalid,probability,standard_error
0.920000,99,1,0,0.990000,0.009950
0.800000,100,0,0,1.000000,0.000000
0.600000,100,0,0,1.000000,0.000000
0.200000,100,0,0,1.000000,0.000000
0.080000,100,0,0,1.000000,0.000000
-0.080000,99,1,0,0.990000,0.009950
-0.200000,98,2,0,0.980000,0.014000
-0.600000,88,12,0,0.880000,0.032496
-0.800000,58,42,0,0.580000,0.049356
-0.920000,60,40,0,0.600000,0.048990
