m0,count_A,count_B,probability,standard_error
0.920000,100,0,1.000000,0.000000
0.800000,100,0,1.000000,0.000000
0.600000,100,0,1.000000,0.000000
0.200000,100,0,1.000000,0.000000
0.080000,99,1,0.990000,0.009950
-0.080000,100,0,1.000000,0.000000
-0.200000,99,1,0.990000,0.009950
-0.600000,59,41,0.590000,0.049183
-0.800000,19,81,0.190000,0.039230
-0.920000,7,93,0.070000,0.025515
