m0,count_A,count_B,probability,standard_error
0.920000,100.0,0.0,1.000000,0.000000
0.800000,100.0,0.0,1.000000,0.000000
0.600000,100.0,0.0,1.000000,0.000000
0.200000,100.0,0.0,1.000000,0.000000
0.080000,97.0,3.0,0.970000,0.017059
-0.080000,84.0,16.0,0.840000,0.036661
-0.200000,62.0,38.0,0.620000,0.048539
-0.600000,16.0,84.0,0.160000,0.036661
-0.800000,12.0,88.0,0.120000,0.032496
-0.920000,8.0,92.0,0.080000,0.027129
