m0,count_A,count_B,probability,standard_error
1.000000,93.0,0.0,0.930000,0.025515
0.920000,90.0,0.0,0.900000,0.030000
0.800000,91.0,1.0,0.910000,0.028618
0.600000,91.0,4.0,0.910000,0.028618
0.200000,60.0,34.0,0.600000,0.048990
0.080000,44.0,46.0,0.440000,0.049639
-0.080000,29.0,64.0,0.290000,0.045376
-0.200000,13.0,67.0,0.130000,0.033630
-0.600000,2.0,89.0,0.020000,0.014000
-0.800000,0.0,93.0,0.000000,0.000000
-0.920000,0.0,92.0,0.000000,0.000000
-1.000000,0.0,96.0,0.000000,0.000000
