m0,count_A,count_B,probability,standard_error
1.000000,100.0,0.0,1.000000,0.000000
0.920000,99.0,0.0,0.990000,0.009950
0.800000,97.0,0.0,0.970000,0.017059
0.600000,97.0,1.0,0.970000,0.017059
0.200000,87.0,8.0,0.870000,0.033630
0.080000,81.0,13.0,0.810000,0.039230
-0.080000,61.0,29.0,0.610000,0.048775
-0.200000,50.0,36.0,0.500000,0.050000
-0.600000,18.0,64.0,0.180000,0.038419
-0.800000,5.0,80.0,0.050000,0.021794
-0.920000,0.0,86.0,0.000000,0.000000
-1.000000,0.0,91.0,0.000000,0.000000
