m0,count_A,count_B,probability,standard_error
1.000000,94.0,1.0,0.940000,0.023749
0.920000,87.0,11.0,0.870000,0.033630
0.800000,85.0,13.0,0.850000,0.035707
0.600000,78.0,21.0,0.780000,0.041425
0.200000,54.0,43.0,0.540000,0.049840
0.080000,52.0,44.0,0.520000,0.049960
-0.080000,31.0,69.0,0.310000,0.046249
-0.200000,32.0,65.0,0.320000,0.046648
-0.600000,8.0,91.0,0.080000,0.027129
-0.800000,3.0,96.0,0.030000,0.017059
-0.920000,4.0,94.0,0.040000,0.019596
-1.000000,11.0,83.0,0.110000,0.031289
