m0,count_A,count_B,probability,standard_error
0.920000,100.0,0.0,1.000000,0.000000
0.800000,100.0,0.0,1.000000,0.000000
0.600000,100.0,0.0,1.000000,0.000000
0.200000,94.0,6.0,0.940000,0.023749
0.080000,84.0,16.0,0.840000,0.036661
-0.080000,58.0,42.0,0.580000,0.049356
-0.200000,42.0,58.0,0.420000,0.049356
-0.600000,0.0,100.0,0.000000,0.000000
-0.800000,0.0,100.0,0.000000,0.000000
-0.920000,0.0,100.0,0.000000,0.000000
