m0,count_A,count_B,probability,standard_error
0.920000,98.0,2.0,0.980000,0.014000
0.800000,96.0,4.0,0.960000,0.019596
0.600000,90.0,10.0,0.900000,0.030000
0.200000,43.0,57.0,0.430000,0.049508
0.080000,24.0,76.0,0.240000,0.042708
-0.080000,7.0,93.0,0.070000,0.025515
-0.200000,5.0,95.0,0.050000,0.021794
-0.600000,1.0,99.0,0.010000,0.009950
-0.800000,0.0,100.0,0.000000,0.000000
-0.920000,2.0,98.0,0.020000,0.014000
