m0,count_A,count_B,probability,standard_error
0.920000,87,13,0.870000,0.033630
0.800000,87,13,0.870000,0.033630
0.600000,89,11,0.890000,0.031289
0.200000,78,22,0.780000,0.041425
0.080000,73,27,0.730000,0.044396
-0.080000,62,38,0.620000,0.048539
-0.200000,60,40,0.600000,0.048990
-0.600000,14,86,0.140000,0.034699
-0.800000,7,93,0.070000,0.025515
-0.920000,5,95,0.050000,0.021794
