m0,count_A,count_B,probability,standard_error
0.920000,84,16,0.840000,0.036661
0.800000,91,9,0.910000,0.028618
0.600000,90,10,0.900000,0.030000
0.200000,72,28,0.720000,0.044900
0.080000,63,37,0.630000,0.048280
-0.080000,41,59,0.410000,0.049183
-0.200000,29,71,0.290000,0.045376
-0.600000,2,98,0.020000,0.014000
-0.800000,0,100,0.000000,0.000000
-0.920000,0,100,0.000000,0.000000
